ticker|headlines|date|Event_Return|Close
AMZN|"Whole Foods (WFMI) -5.2% following a downgrade to ""hold"" from ""buy"" at Jefferies. Gas prices are the culprit, writes Scott Mushkin, claiming at $4/gallon, even the affluent who patronize the upscale grocery begin to take notice. Whole Foods announces earnings after Wednesday's close."|2011-05-02|0.017650124130408118|10.059499740600586
NFLX|"Netflix (NFLX +1.1%) shares post early gains after Citigroup ups its rating to Buy and lifts its price target to $300 from $245. U.S. revenue growth is sustainable, Citi says, ""with a path to 50M subscribers by 2013,"" adding that NFLX has little competition in price, selection and  convenience; mass market adoption of tablets will help, and the mass-market adoption phase is still to come."|2011-05-02|-0.012912228444990625|33.88428497314453
MSFT|The likely winners in Microsoft's (MSFT -1.4%) Skype buy: a hodgepodge of private-equity firms, pension funds and VCs (and eBay (EBAY +2.4%), whose $620M stake goes to $2.3B - making for a total eBay payday of more than $4B).|2011-05-10|-0.01981703862911055|19.956239700317383
MSFT|Microsoft (MSFT -1.2%) and Skype signed their deal last night after finalizing the price in mid-April, the CEOs say in their webcast, and the product will be focused on mobile devices, video chat and social features as it gets integrated into Outlook mail and other products, including the Xbox console.|2011-05-10|-0.01981703862911055|19.956239700317383
MSFT||2011-05-10|-0.01981703862911055|19.956239700317383
AMZN|"Amazon.com (AMZN -1.7%) shares slip as comments circulate from CEO Jeff Bezos that the company will cease affiliate operations in states that force it to collect sales tax. Amazon has already announced plans to cancel its affiliate program in Illinois, and Bezos says ""we will continue to drop states who pass those affiliate laws."""|2011-05-12|-0.006606568939463653|10.303500175476074
GOOG|"It's been some time coming, but Google (GOOG -1.9%) makes its first trip into the bond market with a planned $3B sale that should be ""scooped up like nobody's business."" The company had $35B in cash and marketable securities at 2010's end, but will pay back short-term borrowings as investment-grade borrowing costs are about the lowest since November."|2011-05-16|-0.008072861106100393|12.912101745605469
MSFT|"Accusing underwriters of digging out their late 1990s playbook, Jim Cramer describes the LinkedIn (LNKD) IPO as ""preposterous."" By offering just a sliver of the company, the promoters purposely created a frenzy for the shares. ""It's a toxic way to price, it's a terrible thing to do."""|2011-05-19|-0.0011563467628451507|19.343656539916992
MSFT|If you bought LinkedIn (LNKD, now legging higher again, +155% to $115) at $45, give yourself a high-five - though that probably means you're MS, BAC and other underwriters who took advantage of the company for serious underpricing of the IPO, Henry Blodget says. LNKD may have left well over $100M on the table.|2011-05-19|-0.0011563467628451507|19.343656539916992
MSFT|From Jens Heycke, the top 5 things you could buy with $4B (um, make that $7B) instead of LinkedIn (LNKD +90%).|2011-05-19|-0.0011563467628451507|19.343656539916992
MSFT|"""OK. This is almost hilarious. P/E Ratio for $LNKD right now: 1,221 - SERIOUSLY?! Yes you are reading that correctly,"" says Bloomberg's Cris Valerio of LinkedIn's (LNKD) debut. Stock did soar to over 100% but is now a mere +90%."|2011-05-19|-0.0011563467628451507|19.343656539916992
MSFT|LinkedIn (LNKD) is off to an astonishing start on its IPO debut, up 83%.|2011-05-19|-0.0011563467628451507|19.343656539916992
MSFT||2011-05-20|-0.02115514224596937|19.163681030273438
AMZN|"Amazon (AMZN -1.2%) moves nicely off its low for the day following a note on engadget.com that says the company may launch 7"" and 10"" Android tablet devices this year."|2011-05-23|-0.02802121745068642|9.810999870300293
JPM|The investigation by New York AG Eric Schneiderman into mortgage securitization is reportedly adding JPMorgan Chase (JPM -1.1%), UBS (UBS -2.2%) and Deutsche Bank (DB -2.7%), along with four bond insurers. The state probe - already poking at GS, BAC, MS - could blow up a $5B settlement deal.|2011-05-23|-0.038155577961140774|29.768043518066406
MSFT|"LinkedIn (LNKD) shares could fall by 50%, suggests Barron's, if the company hits a rough patch. Even barring outright trouble, the company will find it hard to justify such a heady valuation and investors ""should stay away."" The stock is likely to come under pressure this week in any case as short sellers stake out their positions."|2011-05-23|-0.023198473476156112|18.91327667236328
MSFT||2011-05-24|-0.012237587265384486|18.897621154785156
NFLX|Today's strength in Netflix (NFLX +4.8%) is attributed to comments from Mark Zuckerberg that Facebook has  been in discussions with NFLX related to potential integration of social networking tools. Music, TV shows and books will be among the next products to go social through the website, Zuckerberg says.|2011-05-25|0.06350729623861129|37.067142486572266
TSLA|Tesla Motors (TSLA +3.6%) announces a follow-on offering of 5.3M shares, from which it will use funds to develop its Model X crossover electric vehicle. CEO Elon Musk will buy 1.5M shares in a concurrent offering.|2011-05-25|0.09810540170066206|1.9320000410079956
GOOG|"Google (NASDAQ:GOOG) has taken a ""failed approach so far"" to tablet computing, Steve Ballmer (MSFT +2.4%) says - but he thinks the iPad (NASDAQ:AAPL) has turned out all right. The remarks came as Microsoft's CEO laid out the company's issues with Chinese piracy: Its revenue there is 5% of that in the U.S., though PC sales are about equal in the two countries. (Einhorn earlier)"|2011-05-26|0.005103403275645291|12.904878616333008
MSFT|Phone industry blogger Boy Genius Report cites an insider that says Microsoft (MSFT -1.4%) has a $19B deal to buy Nokia's (NYSE:NOK) mobile business, giving a lift to Nokia's sinking stock - an outcome Dave Kansas finds terribly convenient, and not a little fishy. NOK was back to flat, now -4.6% again.|2011-06-01|-0.021689700316714355|19.116731643676758
TSLA|Tesla Motors (TSLA +6.3%) jumps premarket after pricing its follow-on offering of 5.3M shares at yesterday's $28.76 closing price and disclosing CEO Elon Musk plans to purchase an additional 1.4M shares in a private placement.|2011-06-03|0.008589825493930503|2.0086669921875
